exponent,min_runtime_old,min_runtime_new
486, 0.0001440599990019109,1.2640000932151452e-05
487, 0.00014553999790223315,1.3079999916953966e-05
488, 0.00014557999747921713,1.2099997547920793e-05
489, 0.00014352000289363787,1.2189000699436292e-05
490, 0.00014341000132844783,1.2020002031931654e-05
491, 0.00014308000027085654,1.2379998224787414e-05
492, 0.0001446999995096121,1.2169999536126852e-05
493, 0.00014647999705630355,1.2989999959245324e-05
494, 0.00014479000310529955,1.2840002455050126e-05
495, 0.00014576000103261322,1.3059998309472576e-05
496, 0.00013935999959358014,1.1789001291617751e-05
497, 7.276999895111658e-05,7.1499998739454895e-06
498, 7.293000089703128e-05,7.130001904442906e-06
499, 7.2750000981614e-05,7.639999239472672e-06
500, 7.357999857049435e-05,7.26999860489741e-06
501, 7.372999971266836e-05,7.700000423938036e-06
502, 7.419000030495226e-05,7.74000000092201e-06
503, 7.365000055870041e-05,8.27999974717386e-06
504, 7.435999941662885e-05,7.251001079566777e-06
505, 7.384000127785839e-05,7.78999674366787e-06
506, 6.872000085422769e-05,7.730002835160121e-06
507, 7.190000178525224e-05,7.930000720079988e-06
508, 7.107000055839308e-05,7.499998901039362e-06
509, 7.232000280055217e-05,7.819999154889956e-06
510, 7.695100066484883e-05,8.299997716676444e-06
511, 7.779999941703863e-05,8.880000677891076e-06
512, 7.740999717498198e-05,5.869998858543113e-06
513, 7.555000047432259e-05,6.359998224070296e-06
514, 7.709999772487208e-05,6.320002285065129e-06
515, 7.791000098222867e-05,6.860002031316981e-06
516, 7.773999823257327e-05,6.360001862049103e-06
517, 7.808000009390526e-05,6.920003215782344e-06
518, 7.855999865569174e-05,6.790000043110922e-06
519, 7.049000123515725e-05,7.399998139590025e-06
520, 7.148000076995231e-05,5.919999239267781e-06
521, 7.836000077077188e-05,6.719998054904863e-06
522, 7.50800027162768e-05,6.729998858645558e-06
523, 7.325100159505382e-05,6.880000000819564e-06
524, 7.959999857121147e-05,6.800000846851617e-06
525, 7.787000140524469e-05,7.4689996836241335e-06
526, 7.858000026317313e-05,7.089998689480126e-06
527, 7.879999975557439e-05,7.599999662488699e-06
528, 7.838999954401515e-05,6.289999873843044e-06
529, 7.960999937495217e-05,6.70000008540228e-06
530, 8.001099922694266e-05,6.788999598938972e-06
531, 8.059000174398534e-05,7.190999895101413e-06
532, 8.059999890974723e-05,6.779999239370227e-06
533, 8.045000140555203e-05,7.210001058410853e-06
534, 8.006999996723607e-05,7.1499998739454895e-06
535, 8.134000017889775e-05,7.650000043213367e-06
536, 8.137999975588173e-05,6.779999239370227e-06
537, 8.069999967119657e-05,7.209997420432046e-06
538, 8.14199993328657e-05,7.1499998739454895e-06
539, 8.167999840225093e-05,7.639999239472672e-06
540, 8.137000259011984e-05,7.120001100702211e-06
541, 8.220999734476209e-05,7.700000423938036e-06
542, 8.20499990368262e-05,7.619997631991282e-06
